broad_name,family
ASSAMESE,Indo-Aryan
BENGALI,Indo-Aryan
BODO,Sino-Tibetan
DOGRI,Indo-Aryan
GUJARATI,Indo-Aryan
HINDI,Indo-Aryan
KANNADA,Dravidian
KASHMIRI,Indo-Aryan
KONKANI,Indo-Aryan
MAITHILI,Indo-Aryan
MALAYALAM,Dravidian
MANIPURI,Sino-Tibetan
MARATHI,Indo-Aryan
NEPALI,Indo-Aryan
ODIA,Indo-Aryan
PUNJABI,Indo-Aryan
SANSKRIT,Indo-Aryan
SANTALI,Austroasiatic
SINDHI,Indo-Aryan
TAMIL,Dravidian
TELUGU,Dravidian
URDU,Indo-Aryan
ADI,Sino-Tibetan
AFGHANI/KABULI/PASHTO,Iranian
ANAL,Sino-Tibetan
ANGAMI,Sino-Tibetan
AO,Sino-Tibetan
ARABIC/ARBI,Semitic
BALTI,Sino-Tibetan
BHILI/BHILODI,Indo-Aryan
BHOTIA,Sino-Tibetan
BHUMIJ,Austroasiatic
BISHNUPURIYA,Indo-Aryan
CHAKHESANG,Sino-Tibetan
CHAKRU/CHOKRI,Sino-Tibetan
CHANG,Sino-Tibetan
COORGI/KODAGU,Dravidian
DEORI,Sino-Tibetan
DIMASA,Sino-Tibetan
ENGLISH,Germanic
GADABA,Austroasiatic
GANGTE,Sino-Tibetan
GARO,Sino-Tibetan
GONDI,Dravidian
HALABI,Indo-Aryan
HALAM,Sino-Tibetan
HMAR,Sino-Tibetan
HO,Austroasiatic
JATAPU,Dravidian
JUANG,Austroasiatic
KABUI,Sino-Tibetan
KARBI/MIKIR,Sino-Tibetan
KHANDESHI,Indo-Aryan
KHARIA,Austroasiatic
KHASI,Austroasiatic
KHEZHA,Sino-Tibetan
KHIEMNUNGAN,Sino-Tibetan
KHOND/KONDH,Dravidian
KINNAURI,Sino-Tibetan
KISAN,Dravidian
KOCH,Sino-Tibetan
KODA/KORA,Austroasiatic
KOLAMI,Dravidian
KOM,Sino-Tibetan
KONDA,Dravidian
KONYAK,Sino-Tibetan
KORKU,Austroasiatic
KORWA,Austroasiatic
KOYA,Dravidian
KUI,Dravidian
KUKI,Sino-Tibetan
KURUKH/ORAON,Dravidian
LADAKHI,Sino-Tibetan
LAHAULI,Sino-Tibetan
LAHNDA,Indo-Aryan
LAKHER,Sino-Tibetan
LALUNG,Sino-Tibetan
LEPCHA,Sino-Tibetan
LIANGMEI,Sino-Tibetan
LIMBU,Sino-Tibetan
LOTHA,Sino-Tibetan
LUSHAI/MIZO,Sino-Tibetan
MALTO,Dravidian
MAO,Sino-Tibetan
MARAM,Sino-Tibetan
MARING,Sino-Tibetan
MIRI/MISHING,Sino-Tibetan
MISHMI,Sino-Tibetan
MOGH,Sino-Tibetan
MONPA,Sino-Tibetan
MUNDA,Austroasiatic
MUNDARI,Austroasiatic
NICOBARESE,Austroasiatic
NISSI/DAFLA,Sino-Tibetan
NOCTE,Sino-Tibetan
PAITE,Sino-Tibetan
PARJI,Dravidian
PAWI,Sino-Tibetan
PERSIAN,Iranian
PHOM,Sino-Tibetan
POCHURY,Sino-Tibetan
RABHA,Sino-Tibetan
RAI,Sino-Tibetan
RENGMA,Sino-Tibetan
SANGTAM,Sino-Tibetan
SAVARA,Austroasiatic
SEMA,Sino-Tibetan
SHERPA,Sino-Tibetan
SHINA,Indo-Aryan
SIMTE,Sino-Tibetan
TAI,Kra-Dai
TAMANG,Sino-Tibetan
TANGKHUL,Sino-Tibetan
TANGSA,Sino-Tibetan
THADO,Sino-Tibetan
TIBETAN,Sino-Tibetan
TRIPURI,Sino-Tibetan
TULU,Dravidian
VAIPHEI,Sino-Tibetan
WANCHO,Sino-Tibetan
YIMCHUNGRE,Sino-Tibetan
ZELIANG,Sino-Tibetan
ZEMI,Sino-Tibetan
ZOU,Sino-Tibetan
OTHERS,Other
BALOCHI,Iranian
BRAHUI,Dravidian
THARU,Indo-Aryan
NEWAR,Sino-Tibetan
MAGAR,Sino-Tibetan
BANTAWA,Sino-Tibetan
GURUNG,Sino-Tibetan
RAJBANGSI,Indo-Aryan
CHAMLING,Sino-Tibetan
CHEPANG,Sino-Tibetan
DANUWAR,Indo-Aryan
SUNUWAR,Sino-Tibetan
MARWARI,Indo-Aryan
MAJHI,Indo-Aryan
THANGMI,Sino-Tibetan
KULUNG,Sino-Tibetan
DHIMAL,Sino-Tibetan
ANGIKA,Indo-Aryan
YAKKHA,Sino-Tibetan
THULUNG,Sino-Tibetan
SAMPANG,Sino-Tibetan
BHUJEL,Sino-Tibetan
DARAI,Indo-Aryan
KHALING,Sino-Tibetan
KUMAL,Indo-Aryan
THAKALI,Sino-Tibetan
CHANTYAL,Sino-Tibetan
DUMI,Sino-Tibetan
JIREL,Sino-Tibetan
WAMBULE,Sino-Tibetan
PUMA,Sino-Tibetan
HYOLMO,Sino-Tibetan
NACHERING,Sino-Tibetan
DURA,Sino-Tibetan
MECHE,Sino-Tibetan
MAHASU PAHARI,Indo-Aryan
BOTE,Indo-Aryan
BAHING,Sino-Tibetan
RAJI,Sino-Tibetan
YAMPHU,Sino-Tibetan
GHALE,Sino-Tibetan
CHHULUNG,Sino-Tibetan
LOHORUNG,Sino-Tibetan
MEWAHANG,Sino-Tibetan
TILUNG,Sino-Tibetan
JERUNG,Sino-Tibetan
DUNGMALI,Sino-Tibetan
CHHINTANG,Sino-Tibetan
LHOMI,Sino-Tibetan
TAJPURIYA,Indo-Aryan
ATHPARIYA,Sino-Tibetan
GANGAI,Indo-Aryan
ACHHAMI,Indo-Aryan
KHAM,Sino-Tibetan
DOTYALI,Indo-Aryan
WALUNGGE,Sino-Tibetan
BAITADELI,Indo-Aryan
BAJHANGI,Indo-Aryan
LHOWA,Sino-Tibetan
DOLPO,Sino-Tibetan
DAILEKHI,Indo-Aryan
BAJURELI,Indo-Aryan
DARCHULELI,Indo-Aryan
